Recipe Name,Prep Time,Cook Time,Total Time,Serves,Freezing Time,Ingredients,Directions
"One-Bowl, Overnight Cinnamon Rolls Recipe | BraveTart",PT60M,PT60M,PT930M,12,N/A,"For the Frosting:
4 ounces plain, full-fat cream cheese (8 tablespoons; 115g), softened to about 70°F (21°C)
2 teaspoons (10ml) vanilla extract
5 ounces powdered sugar (about 1 1/4 cups; 141g)
For the Filling:
4 ounces unsalted butter (8 tablespoons; 115g), creamy and soft, about 70°F (21°C)
6 ounces light brown sugar (3/4 cup, gently packed; 170g)
1/2 ounce ground cinnamon (about 2 tablespoons; 15g)
1/2 teaspoon (1g) grated nutmeg
1/4 teaspoon (1g) Diamond Crystal kosher salt; for table salt, use about half as much by volume or the same weight
4 ounces toasted pecan halves, roughly chopped (a shy cup; 115g), or more to taste
For the Dough:
16 ounces all-purpose flour (about 3 1/2 cups, spooned; 450g), such as Gold Medal, plus more for rolling
3 1/2 ounces granulated sugar (about 1/2 cup; 100g)
2 teaspoons (8g) instant yeast, such as SAF (not rapid-rise; see note)
1 3/4 teaspoons (7g) Diamond Crystal kosher salt; for table salt, use about half as much by volume or the same weight
1/4 teaspoon (1g) baking soda
4 ounces unsalted butter (8 tablespoons; 115g)
4 ounces milk (8 tablespoons; 115g), any percentage will do
8 ounces plain, unsweetened Greek yogurt (about 1 cup; 225g), any percentage will do","For the Frosting: Combine cream cheese and vanilla with half the powdered sugar in the bowl of a stand mixer fitted with a paddle attachment. Mix on low to moisten, then sprinkle in the rest of the sugar a little at a time. Once it is incorporated, increase to medium and beat until creamy and pale ivory, about 5 minutes. Transfer to a zip-top bag or disposable pastry bag and set aside until needed, up to 24 hours at room temperature. (If your kitchen is chilly and the frosting hardens in that time, briefly microwave the bag to restore its creamy texture before use.)
For the Filling: Prepare filling with the same bowl and beater, mixing butter, brown sugar, cinnamon, nutmeg, and salt on low speed until moistened. Increase to medium and beat the dark paste until creamy, light in color, and very soft, about 5 minutes. Transfer to a zip-top bag or disposable pastry bag and set aside until needed, up to 24 hours at room temperature. Reserve the pecans until it&#39;s time to fill and shape the rolls.
For the Dough: Wipe the bowl with a paper towel, then whisk together flour, sugar, yeast, salt, and baking soda until thoroughly combined. Melt butter in a 2-quart saucier over low heat, then stir in milk and yogurt, warming to about 80°F (27°C). Add to flour and stir to form a very dry and shaggy dough. With the hook attachment, knead on low until silky-smooth and elastic, able to be gently stretched into a thin but rough sheet without tearing, about 20 minutes.
First Rise: Cover bowl with plastic and set dough to rise until puffy, light, and doubled in bulk, about 90 minutes at roughly 70°F (21°C). If the dough feels dense, firm, or overly resilient, rest 15 minutes before testing again (this is more likely in chilly months).
Shaping: Turn dough onto a lightly floured surface, dust with flour, and roll into a 13-inch square. Snip a corner from the bag of cinnamon filling, squeeze over the dough, and spread into an even layer with an offset spatula. Sprinkle pecans on top and roll to form a 12-inch log, ending seam side down.
Slide an 8-inch strand of thread, unflavored dental floss, or butcher&#39;s twine under the dough until you reach the middle. Cross the ends over the top and pull tight to divide the log in two. Cut each half into six 1-inch slices and arrange in a parchment-lined 9- by 13- by 2-inch aluminum baking pan (or two 8-inch by 3-inch round cake pans).
Second Rise: Cover rolls with foil and refrigerate overnight, or up to 48 hours. Adjust oven rack to middle position and preheat to 350°F (180°C); meanwhile, let cinnamon rolls stand at room temperature until oven is hot.
To Bake and Serve: Bake, covered, until cinnamon rolls are puffed and firm but pale, about 45 minutes. (If using darker pans, check on the cinnamon rolls after 30 minutes.) Remove the foil and continue baking until lightly browned, about 15 minutes more. Snip a corner from the bag of frosting, squeeze over the cinnamon rolls, and spread into an even layer with the back of a spoon. Serve immediately, and leave no survivors; life’s too short for day-old cinnamon rolls."
Broccoli and Cheese Galette Recipe,PT10M,PT70M,PT210M,8,N/A,"1/2 batch Old-Fashioned Flaky Pie Dough
5 tablespoons (75ml) extra-virgin olive oil, divided
1 pound (450g) broccoli, cut into small florets with stalk slivers attached
1 medium (8-ounce, 225g) yellow onion, thinly sliced
Kosher salt
1 1/2 tablespoons unsalted butter
1 1/2 tablespoons all-purpose flour
1 cup (235ml) whole milk
6 ounces (170g) grated Gruyère cheese, divided
1 large egg, beaten","Prepare old-fashioned flaky pie dough according to the recipe. After rolling, folding, and dividing dough in half, roll one portion into a 14-inch round. Transfer to a parchment-lined aluminum rimmed baking sheet, cover with plastic, and refrigerate to relax and chill dough for at least 2 hours or up to 24.
In a large sauté pan, heat 3 tablespoons (45ml) olive oil over medium-high heat until shimmering. Add broccoli and cook, stirring occasionally, until broccoli is crisp tender and lightly browned in spots, about 5 minutes.
Add onion along with the remaining 2 tablespoons (30ml) olive oil, season with salt, and cook, stirring, for 1 minute. Lower heat to to medium-low and continue to cook, stirring occasionally, until broccoli and onions are tender, about 8 minutes longer. Add 3 tablespoons (45ml) water to pan and, using a spoon, scrape up any browned bits. Remove from heat.
Meanwhile, in a small saucepan, heat butter with flour over medium-high heat, until butter has melted and formed a paste with flour. Continue to cook, stirring, until raw flour scent is gone, about 1 minute. Whisk in milk until smooth and cook, whisking to prevent lumps, until sauce comes to a simmer and begins to thicken slightly. Lower heat to low and cook, stirring, until sauce is thick enough to coat back of a wooden spoon, about 3 minutes. Whisk in 4 ounces (115g) cheese until smooth, moving saucepan on and off heat to keep it hot enough to melt cheese but not so hot that it bubbles rapidly. Season Mornay sauce with salt.
Scrape the Mornay sauce into the broccoli and stir to combine.
Adjust oven rack to lower-middle position and preheat to 400°F (205°C). Spread broccoli mixture on prepared dough round, leaving about a 2-inch border of dough all around. With a sharp knife, cut a series of slits in the border of dough, each running from filling to edge of dough, spacing them about 5 inches apart. Fold each segment of dough over filling, tugging gently so the edge of each segment tightly overlaps the one that came before. Chill galette for 10 minutes in the refrigerator.
Brush egg over chilled dough in a thin, even layer (including under each flap). This will give the crust a glossy, golden sheen and help bind the pieces together.
Bake galette for 20 minutes. Sprinkle remaining 2 ounces (55g) cheese all over the pastry, then continue cooking until galette is golden brown around the edges and bubbling in the center, about 20 minutes longer. Let cool 5 minutes, then slice into wedges and serve warm."
Custardy French-Style Soft Scrambled Eggs Recipe,N/A,PT10M,PT10M,3,N/A,"3 large eggs, beaten
1/8 teaspoon kosher salt
1 tablespoon (15g) unsalted butter
2 tablespoons (30ml) cream or milk (optional; see note)
Freshly ground white or black pepper","In a small saucepan, combine eggs, salt, butter, and milk or cream, if using. Set over low heat and cook, whisking constantly, until eggs thicken to a custardy consistency, 5 to 10 minutes. Remove from heat, season with pepper, and serve right away."
"Bacon, Cheese, and Kale Strata",PT55M,PT100M,PT165M,6,N/A,"8 ounces (226g) supermarket-style French or Italian bread, or a quality white sandwich loaf, cut into 1-inch cubes
4 ounces (115g; about 1/2 cup) thick-cut bacon, cut into 1/2-inch strips
4 ounces (115g; about 3 cups) curly kale, stemmed and roughly chopped
Diamond Crystal kosher salt
6 large eggs
1 cup (240m) whole milk
1 cup (240ml) heavy cream
1 1/2 teaspoons Dijon mustard
1 teaspoon fresh thyme leaves, finely chopped
1/8 teaspoon freshly ground black pepper
1/8 teaspoon freshly grated nutmeg
Unsalted butter, softened, for greasing baking dish
4 ounces (115g; about 1 cup) shredded Gruyère cheese","Adjust oven rack to middle position and preheat oven to 275°F (135°C). Spread bread in an even layer on a rimmed baking sheet, and bake until completely dried, about 35 minutes, rotating baking sheet and stirring bread cubes several times during baking. Remove from oven and allow to cool.
In a 12-inch cast iron skillet, cook bacon over medium heat, stirring frequently, until golden and crisp, about 10 minutes. Using a slotted spoon, transfer bacon to a paper towel-lined plate to drain. Drain and discard all but 1 tablespoon (15ml) bacon fat from the skillet. Add kale, season lightly with salt, and cook, stirring occasionally, until kale is wilted but still vibrant in color, about 3 minutes. Remove from heat and allow to cool.
In a large bowl, whisk together eggs, milk, heavy cream, Dijon, thyme, 3/4 teaspoon salt, pepper, and nutmeg until well combined. Add the dried bread and fold gently to combine. Let soak until bread is softened and slightly puffed, folding occasionally with a flexible spatula, at least 15 and no more than 30 minutes.
Grease an 8-inch square ceramic or anodized aluminum baking dish (see note) with butter. Using a slotted spoon, add half of the soaked bread to the prepared baking dish, spreading it in an even layer. Top with half of the kale, half of the bacon, and half of the Gruyère. Repeat with remaining bread, kale, bacon, and cheese. Pour any remaining custard over the layered strata. Using a flexible spatula, gently press down the top of the strata so that all the layers are submerged in the custard, but take care not to compress the bread. Cover tightly with aluminum foil. Allow strata to stand at room temperature for 30 minutes. Meanwhile, increase oven temperature to 325°F (160°C).
Bake strata until cheese is slightly melted, about 20 minutes. Remove foil, return baking dish to oven and continue to bake until strata is puffed and the center no longer jiggles when shaken, about 30 minutes. Remove from oven.
Adjust oven rack to 6 inches below broiler element and preheat broiler on high. Broil until surface of strata is lightly browned in spots, about 2 minutes. Transfer to heatproof surface and allow to cool for 10 minutes. Cut into portions and serve."
Basic Crepe Batter Recipe,PT5M,PT15M,PT20M,"['5', '10 crepes']",N/A,"2 large eggs
1 1/4 cups whole milk (10 fluid ounces; 280ml)
1 cup flour (5 ounces; 140g)
1 tablespoon melted unsalted butter or vegetable oil (1/2 ounce; 15ml), plus more for cooking
Pinch kosher salt
1 tablespoon (8g) sugar, if making sweet crepes
1 tablespoon minced fresh herbs, such as parsley, tarragon, chervil, or chives (optional; for savory crepes)","For the Batter: Combine eggs, milk, flour, melted butter or oil, salt, and sugar (if using) in a blender. Start blender on low speed and increase to high. Blend until smooth, about 10 seconds. Add herbs (if using) and pulse to combine. (Alternatively, you can combine the ingredients in a mixing bowl and whisk vigorously until smooth.)
To Cook: Heat a 10-inch nonstick or well-seasoned cast iron or carbon steel skillet over medium heat for 2 minutes. Lightly grease with oil or butter, using a paper towel to wipe out the excess.
Hold the pan&#39;s handle in one hand and pour in 3 to 4 tablespoons (45 to 60ml) batter, swirling and tilting pan immediately to spread batter in a thin, even layer over bottom of pan.
Let cook until top looks dry, about 20 seconds. Using a thin metal or nylon spatula, lift one edge of crepe. Grab that edge with the fingers of both hands and flip crepe. Cook on second side for 10 seconds, then transfer to a plate. Repeat with remaining batter. Fill crepes as desired (such as with butter, sugar, and lemon juice; with butter and jam; with ham, cheese, and eggs ; or with spinach and feta ) and serve. Crepes can also be made ahead and stored, unfilled and wrapped in plastic, in the refrigerator for up to 3 days. Reheat in a nonstick pan to serve."
"French Crepes With Ham, Cheese, and Eggs Recipe",N/A,N/A,PT20M,2,N/A,"1 tablespoon (15g) unsalted butter, divided
4 large eggs
Kosher salt and freshly ground black pepper
4 cooked Basic Crepes
4 ounces (113g) grated Gruyère or other good melting cheese, divided
4 slices ham (optional), divided
Minced fresh chives, for garnish","Melt 1 teaspoon (5g) butter in a 10-inch nonstick or well-seasoned cast iron or carbon steel skillet over medium heat. Add eggs and cook until whites are set but yolks are still runny. Season to taste with salt and pepper and transfer to a plate.
Melt 1/2 teaspoon (3g) butter in same skillet and add a crepe. Spread 1 ounce (28g) grated cheese in center of crepe, top with ham (if using), then set a fried egg on top. Fold sides of crepe in to cover egg, leaving egg yolk exposed. Cook, swirling, until crisped on bottom, then transfer to a warmed plate. Repeat with remaining crepes, cheese, ham, and eggs. Garnish with chives and serve."
Torrijas Caramelizadas (Spanish-Style Caramelized French Toast) Recipe,PT15M,PT55M,PT70M,4,N/A,"11 ounces (320g) pullman or brioche bread (about one-third to one-half of a loaf)
1 1/2 cups (375ml) whole milk
1 cinnamon stick or pinch ground cinnamon
1/2 vanilla bean (2g), split and scraped or 1/4 teaspoon vanilla extract
Two 3- by 1-inch strips orange zest from 1 large orange
1/8 teaspoon kosher salt
7 tablespoons (88g) plain or toasted sugar , divided
5 large egg yolks (75g)
2 tablespoons (28g) unsalted butter","If using fresh bread, adjust oven rack to middle position and preheat oven to 225°F (110°C). Set a wire rack in a rimmed baking sheet. Using a bread knife, remove crusts from bread, then cut into four rectangular pieces that are 2 inches thick and about 1 1/2 inches wide and 4 inches long (the width and length of the pieces can be determined by the size of your loaf of bread; it&#39;s the thickness of the pieces that is most important). Arrange bread pieces on prepared baking sheet, leaving at least 1 inch of space between each piece, and bake, flipping pieces over halfway through, until lightly toasted and dry on their surface, 30 to 45 minutes. Transfer baking sheet to a heatproof surface to cool slightly, and increase oven temperature to 375°F (190°C). If using stale bread, you can skip the toasting step; cut the bread into pieces as described and preheat oven to 375°F.
Meanwhile, in a 2-quart saucier or saucepan, combine milk, cinnamon, vanilla, orange zest, and salt. Set over medium-low heat and cook, stirring frequently with a rubber spatula, until milk registers 190°F (88°C) on an instant-read thermometer, 3 to 5 minutes. Remove from heat, cover, and set aside to steep for 30 minutes.
While the milk steeps, whisk together 1/4 cup (50g) sugar and egg yolks in a medium bowl until sugar is dissolved and mixture turns pale yellow, 2 to 3 minutes. Set a fine-mesh strainer over bowl with egg mixture, and slowly pour one-third of milk mixture into yolk mixture to temper, whisking constantly to prevent yolks from curdling. Add remaining milk mixture, whisking constantly until well-combined; set aside but don&#39;t clean strainer; wipe out saucepan.
Add bread to custard base and soak, turning pieces occasionally to ensure they are coated on all sides, until fully saturated and soft (they should barely hold together, so handle with care), 5 to 6 minutes. Using a small spatula, carefully transfer bread pieces to a plate, allowing excess liquid to drip back into the bowl of custard base; set bread pieces aside.
Strain custard base through fine-mesh strainer into now-empty saucier; you should have between 3/4 to 1 cup (175 to 240ml) of liquid. Return to stovetop; once again set aside but don&#39;t clean strainer, and wipe out bowl. Cook over medium-low heat, stirring constantly with a rubber spatula or wooden spoon to prevent egg yolks from curdling, until mixture registers 175°F (79.5°C) on an instant-read thermometer and thickens slightly so that it coats the back of a spoon, 3 to 5 minutes. Working quickly, remove from heat and pour crème anglaise through fine-mesh strainer back into now-empty bowl. Place piece of plastic wrap directly on surface of crème anglaise to prevent skin from forming, and refrigerate until ready to use.
In a medium cast iron skillet, melt butter over medium-high heat until just foaming. Sprinkle 2 tablespoons (25g) sugar in an even layer over butter, then add bread pieces to skillet. Cook, carefully turning pieces occasionally, until lightly browned on all sides, 4 to 5 minutes. Transfer skillet to oven, and bake until bread pieces are heated through at the center, about 5 minutes.
Remove skillet from oven, and carefully flip bread pieces over so that bottom sides that were in contact with the pan are facing up. Sprinkle remaining 1 tablespoon (13g) sugar evenly over bread pieces. If using a blowtorch, ignite torch and caramelize sugar by sweeping flame 2 inches above bread pieces, until sugar is bubbling and deep golden brown. If not using a blowtorch, simply serve with the sprinkled sugar on top.
Divide crème anglaise between individual serving plates, followed by bread pieces. Serve immediately."
Savory Green Curry French Toast Recipe,N/A,N/A,"{'@type': 'Duration', 'minValue': 'PT120M', 'maxValue': 'PT720M'}",4,N/A,"1 can coconut milk (13 1/2 fluid ounces; 400ml)
1/2 cup green curry paste (3 1/2 ounces; 100g)
1/4 bunch cilantro (1 ounce; 28g), roughly chopped
6 scallions, both white and green parts, roughly chopped (1 ounce; 28g)
2 tablespoons lime juice (1 ounce; 28g), from about 1 lime
1 tablespoon fish sauce (1/2 ounce; 14g)
4 large eggs
8 (1-inch-thick) slices day-old bread (about 14 ounces; 400g); brioche, challah, and Pullman loaves work best (see note)
Butter, for cooking
To Serve:
4 to 8 Crispy Fried Eggs
Additional chopped cilantro and scallion, for garnish
Molasses or maple syrup","In the jar of a blender, blend together coconut milk, green curry paste, cilantro, scallion, lime juice, and fish sauce until smooth. Add eggs and blend until combined.
Pour coconut mixture into a large roasting pan or 9- by 13-inch baking dish. Add sliced bread and allow to soak at least 1 hour at room temperature, or preferably overnight in the refrigerator, flipping once during the soak to coat both sides.
Preheat a 12-inch cast iron or nonstick pan over medium heat. Add 2 tablespoons (30g) butter and heat until foamy. Add 2 to 3 pieces soaked bread and cook until browned on both sides and heated through, about 10 minutes. Repeat with remaining bread and additional butter, holding cooked French toast warm in a 250°F (120°C) oven until ready to serve. Serve French toast with crispy fried eggs, chopped cilantro and scallion, and a drizzle of molasses or maple."
Perfect Quick-and-Easy French Toast,PT5M,PT35M,PT40M,4,N/A,"6 large eggs
4 tablespoons sugar, plus more for sprinkling
Pinch kosher salt
Pinch ground cinnamon
Pinch freshly grated nutmeg
1/4 teaspoon vanilla extract
2 cups whole milk
4 tablespoons unsalted butter for the pan, plus more for serving
Eight (1/2-inch thick) slices white bread
Maple syrup, for serving","Set a wire rack on a rimmed baking sheet in the oven and preheat to 200°F (93°C). If using very fresh, moist bread, arrange slices in a single layer on the rack and cook in oven, turning once, until lightly toasted, about 10 minutes.
Meanwhile, in a large mixing bowl, whisk together eggs, sugar, salt, cinnamon, nutmeg, and vanilla until thoroughly combined. Add milk and whisk to blend.
Heat 1 tablespoon butter in a large non-stick or cast iron skillet over medium heat, swirling skillet, until foaming subsides, about 5 minutes. Soak 2 slices of bread in egg bath, turning, until saturated. Add soaked bread to skillet and cook, swirling occasionally, until browned on bottom side, about 3 minutes. Sprinkle top side of bread with sugar, flip, and continue to cook, swirling occasionally, until browned on second side, about 3 minutes longer. Transfer French toast to the rack in the oven in a single layer to keep warm and repeat with remaining slices of bread and egg bath.
Serve French toast with pats of butter and maple syrup."
Thick and Fluffy Pancakes From Homemade Pancake Mix Recipe,N/A,N/A,PT10M,8,N/A,"For the Pancake Mix:
4 1/2 ounces all-purpose flour, such as Gold Medal blue label (about 1 cup, spooned; 125g)
1/2 ounce sugar (about 1 tablespoon; 15g)
1/2 ounce malted milk powder, such as Carnation or Hoosier Hill Farms (about 2 tablespoons; 15g)
1 1/2 teaspoons (6.8g) baking powder
1/2 teaspoon (2g) Diamond Crystal kosher salt; for table salt, use about half as much by volume or the same weight
1/4 teaspoon (1.6g) baking soda
2 1/2 ounces refined coconut oil, solid and firm, between 68°F and 72°F (about 1/3 cup; 70g)
For the Pancakes:
4 ounces milk, any percentage will do , or non-dairy alternatives (about 1/2 cup; 115g)
1 large egg, straight from the fridge (1 3/4 ounces; 50g)
1/4 ounce vanilla extract (about 1 1/2 teaspoons ; 7g)
1 batch pancake mix, above (about 1 1/2 cups; 8 1/4 ounces; 233g)","For the Pancake Mix: In the bowl of a food processor, combine flour, sugar, malted milk powder, baking powder, salt, and baking soda. Process about 30 seconds to ensure the leavening agents are fully homogenized into flour.
Add solid coconut oil and pulse only until it disappears into a dry and powdery mix, just a few seconds. It&#39;s important that the coconut oil is fully combined into the flour, while also remaining powdery and dry, so use caution and avoid over-processing, especially with larger batches. At this point, you can either continue with the recipe or transfer the mix to an airtight container and store up to one year at or below 74°F (24°C), or until the date stamped on the package of coconut oil.
For the Pancakes: Preheat an electric griddle to 350°F (177°C), or heat a large, nonstick skillet to a similar temperature on the stovetop. In a large mixing bowl, whisk milk, egg, and vanilla extract until well combined. Add the prepared pancake mix, and whisk until relatively smooth, although a few flecks of coconut oil may dot the batter.
With a large scoop, measuring cup, or piping bag, divide batter in 1/3-cup portions (or as desired), and griddle until golden brown on either side, and cooked through the middle, about 90 seconds per side. Serve immediately, with butter, maple syrup, fresh fruit, whipped cream, or whatever other toppings sound fun.
Troubleshooting: The timing and yield of this recipe will vary substantially depending on how the pancake batter is portioned as well as the exact temperature of the griddle itself. When pancakes are excessively browned but raw in the middle, the griddle is likely too hot; when the pancakes are cooked through but too soft and pale, the griddle may be too cool."
Light and Fluffy Buttermilk Pancakes,PT15M,PT20M,PT35M,"['6', '16 pancakes']",N/A,"Basic Dry Pancake Mix:
10 ounces (about 2 cups) all purpose flour
1 teaspoon baking powder
1/2 teaspoon baking soda
1 teaspoon kosher salt
1 tablespoon sugar
For Each Batch of Pancakes
2 large eggs, separated
1 1/2 cups (about 12 ounces) buttermilk
1 cup (about 8 ounces) sour cream (see note)
4 tablespoons unsalted butter, melted, plus more for serving
Warm maple syrup","For the Dry Pancake Mix: Combine flour, baking powder, baking soda, salt, and sugar in a medium bowl and whisk until homogenous. Transfer to an airtight container. The mix will stay good for 3 months. (See note.)
For each Batch of Pancakes: Place one batch of dry mix in a large bowl. In a medium clean bowl, whisk the egg whites until stiff peaks form. In a large bowl, whisk the egg yolks, buttermilk, and sour cream until homogenous. Slowly drizzle in the melted butter while whisking. Carefully fold in the egg whites with a rubber spatula until just combined. Pour the mixture over the dry mix and fold until just combined (there should still be plenty of lumps).
Heat a large heavy-bottomed nonstick skillet over medium heat for 5 minutes (or use an electric griddle). Add a small amount of butter or oil to the griddle and spread with a paper towel until no visible butter or oil remains. Use a 1⁄4-cup dry measure to place 4 pancakes in the skillet and cook until bubbles start to appear on top and the bottoms are golden brown, about 2 minutes. Carefully flip the pancakes and cook on the second side until golden brown and completely set, about 2 minutes longer. Serve the pancakes immediately, or keep warm on a wire rack set on a rimmed baking sheet in a warm oven while you cook the remaining 3 batches. Serve with warm maple syrup and butter."
Buttermilk Vanilla Waffles Recipe,PT10M,PT20M,PT30M,3,N/A,"6 1/2 ounces all-purpose flour (1 1/3 cup; 185g)
1 1/2 ounces powdered sugar (1/4 cup plus 2 tablespoons; 45g)
1/2 teaspoon (2g) Diamond Crystal kosher salt; for table salt, use half as much by volume or use the same weight
1/2 teaspoon (3g) baking soda
1/2 teaspoon (2g) baking powder
1 vanilla bean, split and scraped (see note)
14 ounces cultured lowfat buttermilk (1 3/4 cup; 395g) (see note)
1 1/2 ounces unsalted butter, melted (3 tablespoons; 40g)
2 large egg whites (about 2 1/2 ounces; 70g)
1 teaspoon (5ml) vanilla extract
Maple syrup, for serving","For the Batter: In a large bowl, combine flour, powdered sugar, salt, baking soda, baking powder, and scrapings of one large vanilla bean, mixing by hand until the seeds are well dispersed. Add buttermilk, melted butter, egg whites, and vanilla extract and whisk until smooth.
For the Waffles: Set waffle iron to medium and preheat until indicator is ready. For an 8-inch square machine, scrape in roughly half the batter. For a 7-inch Belgian machine, scrape in about one-third. Close lid and cook until waffle is golden brown but still steaming, 4 1/2 to 6 minutes depending on the depth and heat of your machine. Serve immediately, with copious amounts of maple syrup, and griddle remaining batter as before."
Shakshuka (North African–Style Poached Eggs in Spicy Tomato Sauce),N/A,PT35M,PT35M,6,N/A,"3 tablespoons (45ml) extra-virgin olive oil, plus more for drizzling
1 medium onion, thinly sliced
1 large red pepper (bell pepper for milder heat, or a hotter variety, such as red horned pepper, depending on your heat preference), stems, seeds, and ribs removed, thinly sliced
1 fresh small hot chile (such as jalapeño, serrano, or Fresno), stems, seeds, and ribs removed, thinly sliced
2 to 3 cloves garlic, thinly sliced
1 1/2 tablespoons (15g) sweet Hungarian or smoked Spanish paprika
2 teaspoons (8g) whole or ground cumin seed
1 (28-ounce; 800g) can whole peeled tomatoes, crushed by squeezing between your fingers or with a pastry blender (see note)
Kosher salt and freshly ground black pepper
Large handful minced cilantro, parsley, or a mix
6 eggs
Sliced oil-cured black olives, feta cheese, and/or artichoke hearts, for serving (all optional)
Crusty bread, for serving","Heat olive oil in a large, deep skillet or straight-sided sauté pan over high heat until shimmering. Add onion, red pepper, and chile and spread into an even layer. Cook, without moving, until vegetables on the bottom are deeply browned and beginning to char in spots, about 6 minutes. Stir and repeat. Continue to cook until vegetables are fully softened and spottily charred, about another 4 minutes. Add garlic and cook, stirring, until softened and fragrant, about 30 seconds. Add paprika and cumin and cook, stirring, until fragrant, about 30 seconds. Immediately add tomatoes and stir to combine (see notes). Reduce heat to a bare simmer and simmer for 10 minutes, then season to taste with salt and pepper and stir in half of cilantro or parsley.
Using a large spoon, make a well near the perimeter of the pan and break an egg directly into it. Spoon a little sauce over edges of egg white to partially submerge and contain it, leaving yolk exposed. Repeat with remaining 5 eggs, working around pan as you go. Season eggs with a little salt, cover, reduce heat to lowest setting, and cook until egg whites are barely set and yolks are still runny, 5 to 8 minutes.
Sprinkle with remaining cilantro or parsley, along with any of the optional toppings. Serve immediately with crusty bread."
Jamaican Banana Fritters,PT10M,PT20M,PT30M,10,N/A,"1 1/2 cups mashed overripe bananas (14 ounces; 395g) from 4 medium bananas
1 1/2 teaspoons (7ml) vanilla extract
1/8 teaspoon freshly ground nutmeg
1 1/2 cups all-purpose flour (6 3/4 ounces; 192g)
3/4 cup (175ml) milk or water, plus more as needed
1/4 cup (60ml) vegetable oil, plus more as needed
1 1/2 tablespoons (20g) granulated sugar
1/2 teaspoon ground cinnamon
Kosher salt, to taste","In a medium bowl, stir bananas, vanilla extract, and nutmeg to combine. Whisk in flour, followed by milk or water, until a thick and slightly lumpy batter begins to form. (Exactly how thick varies from cook to cook, but a general goal is a batter that’s thicker than pancake batter, spreadable, but not free-flowing.) If needed, add additional liquid, 1 tablespoon at a time, to achieve the desired texture.
In a large sauté or frying pan or nonstick skillet, heat oil over medium-high heat until shimmering. Working in batches to avoid crowding the pan, carefully add a 1-ounce spoonfuls (about 2 tablespoons) of banana batter to oil, making sure to release them close to oil to prevent splashing. Fry until golden on first side, 45 seconds to 1 minute. Flip and fry until golden on second side side, 45 seconds to 1 minute longer. Transfer to paper towels to drain, and repeat with remaining batter, adding oil as needed if pan is dry and adjusting heat to prevent over browning.
In a small bowl, stir sugar and cinnamon to combine. Transfer fritters to a serving dish and sprinkle cinnamon-sugar and salt to taste all over hot fritters. Serve hot or at room temperature as a side dish with a meal or as a quick and tasty snack.
In a small bowl, stir together sugar and cinnamon. Transfer fritters to a serving dish and sprinkle cinnamon-sugar all over hot fritters. Serve hot or at room temperature as a side dish with a meal or as a quick and tasty snack."
